Date,CNVRG,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,0.0,486.77689961624105,0.0,0.0,0.0,0.0
2019-02-28,0.0,431.0522938113194,0.0,0.0009852216748766907,0.0,0.0
2019-03-31,0.0,466.047948177009,0.0,0.0009842519685039353,0.0,0.0
2019-04-30,0.0,444.6076922411487,0.0,0.002949852507374562,0.0,0.0
2019-05-31,0.0,479.36049065395446,0.0,0.0019607843137254832,0.0,0.0
2019-06-30,0.0,445.04358213550273,0.0,0.0009784735812133905,0.0,0.0
2019-07-31,0.0,491.0931479872226,0.0,0.002938295788442735,0.0,0.0
2019-08-31,0.0,446.78714171291904,0.0,0.0009765625,0.0,0.0
2019-09-30,0.0,481.2366569578839,0.0,0.0009756097560975618,0.0,0.0
2019-10-31,0.0,493.4910637488789,0.0,0.0029239766081872176,0.0,0.0
2019-11-30,0.0,472.92181171944264,0.0,0.002915451895043608,0.0,0.0
2019-12-31,0.0,452.4537103395219,0.0,0.005813953488372103,0.0,0.0
2020-01-31,0.0,501.1643941861792,0.0,0.00674373795761074,0.0,0.0
2020-02-29,0.0,465.5493529154562,0.0,0.003827751196172291,0.0,0.0
2020-03-31,0.0,487.3341974456543,0.0,0.0019212295869355245,0.0,0.0
2020-04-30,0.0,464.2077121289563,0.0,0.0009624639076035724,0.0,0.0
2020-05-31,0.0,464.2077121289563,0.0,0.0,0.0,0.0
2020-06-30,0.0,478.4209025533896,0.0,0.005780346820809301,0.0,0.0
2020-07-31,0.0,492.02461320547786,0.0,0.00478927203065127,0.0,0.0
2020-08-31,0.0,468.67984808395596,0.0,0.0009532888465205724,0.0,0.0
2020-09-30,0.0,492.02461320547786,0.0,0.000954198473282597,0.0,0.0
2020-10-31,29.194013084877522,493.90077950940713,inf,0.0038131553860818457,inf,inf
2020-11-30,67.3508515165176,463.3509576983736,0.08056841298684386,0.009496676163342821,0.08111576403055816,0.9612030375535965
2020-12-31,66.18122694541104,454.8110816591874,0.060282899558123486,0.008466603951081897,0.0599927823402408,0.7283639308401597
2021-01-31,71.05224838103295,496.7512053332131,0.06402086154065816,0.011194029850746245,0.06497090166638358,0.7632639859616921
2021-02-28,75.17960627723453,460.32651455244246,0.12120043499150464,0.0009225092250921829,0.12097217311239214,1.441824650814548
2021-03-31,86.48425058934141,518.9089708224362,0.09654863836807902,0.0027649769585252892,0.09763863692552027,1.1518397291742062
2021-04-30,82.82870516916222,483.43789673545444,0.06310264860752368,0.0009242144177450395,0.06310942888858051,0.7583809994466907
2021-05-31,88.45421640600294,495.3764326247262,0.07694285158778306,0.0,0.07694285158778306,0.9231392891763524
2021-06-30,100.64660103550443,507.9720267888775,0.11378018077778942,0.0018501387604070718,0.11354051203227566,1.352376272816315
2021-07-31,105.49517761490331,498.58423561119537,0.06687743620842228,0.004616805170821747,0.06820614575135384,0.8014180213598728
2021-08-31,128.80225153311568,513.1314841246831,0.1526145062786843,0.005514705882353033,0.15271302117304295,1.7636012338735954
2021-09-30,161.68906116370397,512.6624425487008,0.10701782418125401,0.000914076782449813,0.10730627833339801,1.2647963713749282
2021-10-31,158.08604460862446,501.7920385976645,0.29355792904860817,0.0018298261665141702,0.29357136426866065,3.6383177764891492
2021-11-30,151.05754698127467,504.9998415841336,0.14753501723990464,0.006392694063926951,0.14767169777139794,1.7604462011314677
2021-12-31,146.42611618150636,506.3746142926203,0.09922961859428095,0.0027223230490018846,0.1000890365549662,1.1976124629433575
2022-01-31,142.9667268982542,511.8737051265674,0.07881851151990657,0.010859728506787292,0.07954728866821079,0.9552370352735378
2022-02-28,122.54128896008888,487.32490188784726,0.16980338909206552,0.0008952551477170445,0.16980574488454256,2.0457416088806117
2022-03-31,125.4454662393185,539.531046372681,0.18743741536071315,0.0062611806797854275,0.1867605459752519,2.2157794475798305
2022-04-30,128.29090965458153,494.2991401975124,0.09363503859826403,0.008000000000000007,0.09452036949697293,1.1310955943414662
2022-05-31,125.58505086195571,521.9553716554701,0.1431216729816323,0.0044091710758378255,0.14318897917893988,1.7269425565827243
2022-06-30,103.50027198031897,538.9287708037122,0.16836284505264182,0.008779631255487308,0.16943967874414956,1.9901936499177695
2022-07-31,95.04500670734892,530.6622654758863,0.112471565455652,0.007832898172323688,0.1133786529915219,1.358214764324155
2022-08-31,90.80732789813825,545.4953528674648,0.13696173349149546,0.0043177892918826455,0.13716011095252634,1.6627089065359757
2022-09-30,75.79219221001594,535.244841170842,0.15664704097121773,0.004299226139294898,0.15651652144571332,1.9622316896486167
2022-10-31,57.71820856540854,540.2856744352936,0.129954225660139,0.009417808219178259,0.13028871232398384,1.5897614268515101
2022-11-30,63.439508194815005,545.326507699745,0.1885492338359558,0.00932994062765058,0.1887756857309994,2.204628591734917
2022-12-31,64.39663034662605,520.4525338587564,0.1988522396226667,0.003361344537815114,0.1982726165379257,2.413945145531847
2023-01-31,84.5120772434331,569.4164732425644,0.18122481374949118,0.01675041876046901,0.18197208879861818,2.1545541620407738
2023-02-28,75.3500948904512,542.917304936949,0.0952499567977757,0.0,0.0952499567977757,1.1469796435637247
2023-03-31,51.24212720018559,402.63824954914554,0.06926017813633802,0.0,0.06926017813633802,0.839097798040199
