Date,RCR,CPI,simple_rtn,inflation_rate,real_rtn,realized volatility
2019-01-31,0.0,486.77689961624105,0.0,0.0,0.0,0.0
2019-02-28,0.0,431.0522938113194,0.0,0.0009852216748766907,0.0,0.0
2019-03-31,0.0,466.047948177009,0.0,0.0009842519685039353,0.0,0.0
2019-04-30,0.0,444.6076922411487,0.0,0.002949852507374562,0.0,0.0
2019-05-31,0.0,479.36049065395446,0.0,0.0019607843137254832,0.0,0.0
2019-06-30,0.0,445.04358213550273,0.0,0.0009784735812133905,0.0,0.0
2019-07-31,0.0,491.0931479872226,0.0,0.002938295788442735,0.0,0.0
2019-08-31,0.0,446.78714171291904,0.0,0.0009765625,0.0,0.0
2019-09-30,0.0,481.2366569578839,0.0,0.0009756097560975618,0.0,0.0
2019-10-31,0.0,493.4910637488789,0.0,0.0029239766081872176,0.0,0.0
2019-11-30,0.0,472.92181171944264,0.0,0.002915451895043608,0.0,0.0
2019-12-31,0.0,452.4537103395219,0.0,0.005813953488372103,0.0,0.0
2020-01-31,0.0,501.1643941861792,0.0,0.00674373795761074,0.0,0.0
2020-02-29,0.0,465.5493529154562,0.0,0.003827751196172291,0.0,0.0
2020-03-31,0.0,487.3341974456543,0.0,0.0019212295869355245,0.0,0.0
2020-04-30,0.0,464.2077121289563,0.0,0.0009624639076035724,0.0,0.0
2020-05-31,0.0,464.2077121289563,0.0,0.0,0.0,0.0
2020-06-30,0.0,478.4209025533896,0.0,0.005780346820809301,0.0,0.0
2020-07-31,0.0,492.02461320547786,0.0,0.00478927203065127,0.0,0.0
2020-08-31,0.0,468.67984808395596,0.0,0.0009532888465205724,0.0,0.0
2020-09-30,0.0,492.02461320547786,0.0,0.000954198473282597,0.0,0.0
2020-10-31,0.0,493.90077950940713,0.0,0.0038131553860818457,0.0,0.0
2020-11-30,0.0,463.3509576983736,0.0,0.009496676163342821,0.0,0.0
2020-12-31,0.0,454.8110816591874,0.0,0.008466603951081897,0.0,0.0
2021-01-31,0.0,496.7512053332131,0.0,0.011194029850746245,0.0,0.0
2021-02-28,0.0,460.32651455244246,0.0,0.0009225092250921829,0.0,0.0
2021-03-31,0.0,518.9089708224362,0.0,0.0027649769585252892,0.0,0.0
2021-04-30,0.0,483.43789673545444,0.0,0.0009242144177450395,0.0,0.0
2021-05-31,0.0,495.3764326247262,0.0,0.0,0.0,0.0
2021-06-30,0.0,507.9720267888775,0.0,0.0018501387604070718,0.0,0.0
2021-07-31,0.0,498.58423561119537,0.0,0.004616805170821747,0.0,0.0
2021-08-31,0.0,513.1314841246831,0.0,0.005514705882353033,0.0,0.0
2021-09-30,22.654116623695568,512.6624425487008,inf,0.000914076782449813,inf,inf
2021-10-31,31.380111535811977,501.7920385976645,0.06832703470241865,0.0018298261665141702,0.06787644101147045,0.8242981736665645
2021-11-30,33.2098434202873,504.9998415841336,0.05101252911949915,0.006392694063926951,0.051406489258418356,0.6087280273617671
2021-12-31,34.15297058822263,506.3746142926203,0.07347739821251827,0.0027223230490018846,0.07416881382225363,0.874345631550528
2022-01-31,38.49825840216671,511.8737051265674,0.08382479233717326,0.010859728506787292,0.08451040874720835,0.9915718077006161
2022-02-28,34.789686690167244,487.32490188784726,0.12706189243963034,0.0008952551477170445,0.12706504066415417,1.5393272920733065
2022-03-31,35.58272614626373,539.531046372681,0.10714049140353397,0.0062611806797854275,0.10709775337449463,1.3099963883394499
2022-04-30,32.17645257016379,494.2991401975124,0.043492947208326214,0.008000000000000007,0.0434751376482422,0.5221102945252761
2022-05-31,32.810882341077026,521.9553716554701,0.09499907391698244,0.0044091710758378255,0.09510044440658454,1.156796704875974
2022-06-30,30.72684982226457,538.9287708037122,0.08259943165397572,0.008779631255487308,0.08079627080196075,0.9994605835907932
2022-07-31,29.513593478260148,530.6622654758863,0.07226233359125003,0.007832898172323688,0.06808207990290954,0.8629352908477681
2022-08-31,29.79018126833068,545.4953528674648,0.05974040160154312,0.0043177892918826455,0.0604472074528919,0.7184673633184245
2022-09-30,26.753422210999474,535.244841170842,0.06268641036752307,0.004299226139294898,0.06238672106734828,0.7603252164216994
2022-10-31,23.21740295554178,540.2856744352936,0.04293163837378625,0.009417808219178259,0.04393373835189811,0.5159756366600585
2022-11-30,23.84455912781782,545.326507699745,0.12892157894449943,0.00932994062765058,0.12925254140877043,1.4676716574754067
2022-12-31,25.415597573143938,520.4525338587564,0.0518548757441034,0.003361344537815114,0.05410640659400833,0.6268454763836346
2023-01-31,27.827748741139665,569.4164732425644,0.07440010885220354,0.01675041876046901,0.07620225836820163,0.8930848662981272
2023-02-28,26.100772019233453,542.917304936949,0.08253038014062386,0.0,0.08253038014062386,1.0080088267757514
2023-03-31,18.574283297075016,402.63824954914554,0.04466383965218197,0.0,0.04466383965218197,0.5403429804772556
